Sample.ID,Plot_name,vcf_ID,Region,Ecotype,Wild.Sel,Shape,Pop,Sampling.Site,Lat,Long,Temp_C,Sal_ppt,Sampling.Date,Contact,Length_mm,Sex,Tissues,NOTES,Mean_Annual_Temperature_Celsius,Max_temperature_Celsius,Min_temperature_Celsius,Mean_Annual_Salinity_ppt,dd_0,dd_15,dd_30,Dermo_pressure_since_year,Dermo_pressure,MSX_pressure_since_year,MSX_pressure,Generations_selection,History_of_Introgression,Frequency_of_outbreeding,Number_generations_outbred,Outbreeding_populations,salinity_selection,disease_selection,size_selection,Selection_description,Population_origin_wild,Population_selection_location,Details_notes,Shape,Color
LM_1,TX-HSLM,LM_1,Mexico,High,W,,Laguna Madre,"Port Mansfield, TX",26.558889,-97.365,28.9,26,10/5/16,Joel Anderson,97,F,"A,M",none,23.28,32.4,6.3,28.4,0,38.2,287.7,1960,High,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
LM_2,TX-HSLM,LM_2,Mexico,High,W,,Laguna Madre,"Port Mansfield, TX",26.558889,-97.365,28.9,26,10/5/16,Joel Anderson,93,F,"A,M",none,23.28,32.4,6.3,28.4,0,38.2,287.7,1960,High,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
LM_3,TX-HSLM,LM_3,Mexico,High,W,,Laguna Madre,"Port Mansfield, TX",26.558889,-97.365,28.9,26,10/5/16,Joel Anderson,93,M,"A,M",none,23.28,32.4,6.3,28.4,0,38.2,287.7,1960,High,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
LM_4,TX-HSLM,LM_4,Mexico,High,W,,Laguna Madre,"Port Mansfield, TX",26.558889,-97.365,28.9,26,10/5/16,Joel Anderson,69,F,"A,M",none,23.28,32.4,6.3,28.4,0,38.2,287.7,1960,High,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
LM_7,TX-HSLM,LM_7,Mexico,High,W,,Laguna Madre,"Port Mansfield, TX",26.558889,-97.365,28.9,26,10/5/16,Joel Anderson,75,M,"A,M",none,23.28,32.4,6.3,28.4,0,38.2,287.7,1960,High,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
LM_8,TX-HSLM,LM_8,Mexico,High,W,,Laguna Madre,"Port Mansfield, TX",26.558889,-97.365,28.9,26,10/5/16,Joel Anderson,96,F,"A,M",none,23.28,32.4,6.3,28.4,0,38.2,287.7,1960,High,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
SL_1,LA-LSSL,SL_1,Louisiana,Low,W,,Sister Lake,"Caillou Lake, LA",29.249167,-90.937778,29,12,9/5/17,Jerome La Peyre,118,F,"A,M,G",RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,22.69,31.62,10.08,11.52,0,47,251.6,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
SL_2,LA-LSSL,SL_2,Louisiana,Low,W,,Sister Lake,"Caillou Lake, LA",29.249167,-90.937778,29,12,9/5/17,Jerome La Peyre,160,F,"A,M,G",RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,22.69,31.62,10.08,11.52,0,47,251.6,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
SL_3,LA-LSSL,SL_3,Louisiana,Low,W,,Sister Lake,"Caillou Lake, LA",29.249167,-90.937778,29,12,9/5/17,Jerome La Peyre,128,F,"A,M,G",RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,22.69,31.62,10.08,11.52,0,47,251.6,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
SL_4,LA-LSSL,SL_4,Louisiana,Low,W,,Sister Lake,"Caillou Lake, LA",29.249167,-90.937778,29,12,9/5/17,Jerome La Peyre,110,F,"A,M,G",RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,22.69,31.62,10.08,11.52,0,47,251.6,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
SL_5,LA-LSSL,SL_5,Louisiana,Low,W,,Sister Lake,"Caillou Lake, LA",29.249167,-90.937778,29,12,9/5/17,Jerome La Peyre,112,F,"A,M,G",RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,22.69,31.62,10.08,11.52,0,47,251.6,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
SL_6,LA-LSSL,SL_6,Louisiana,Low,W,,Sister Lake,"Caillou Lake, LA",29.249167,-90.937778,29,12,9/5/17,Jerome La Peyre,122,F,"A,M,G",RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,22.69,31.62,10.08,11.52,0,47,251.6,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
CL_1,LA-HSCL,CL_1,Louisiana,High,W,,Calcasieu Lake,"Grand Isle, LA",29.815556,-93.348889,13.1,22,12/??/2016,Jerome La Peyre,132,F,"A,M,G","a lot of polydora in shell, very ripe",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
CL_2,LA-HSCL,CL_2,Louisiana,High,W,,Calcasieu Lake,"Grand Isle, LA",29.815556,-93.348889,13.1,22,12/??/2016,Jerome La Peyre,116,M,"A,M,G","a lot of polydora in shell, very ripe",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
CL_3,LA-HSCL,CL_3,Louisiana,High,W,,Calcasieu Lake,"Grand Isle, LA",29.815556,-93.348889,13.1,22,12/??/2016,Jerome La Peyre,112,F,"A,M,G","a lot of polydora in shell, very ripe",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
CL_4,LA-HSCL,CL_4,Louisiana,High,W,,Calcasieu Lake,"Grand Isle, LA",29.815556,-93.348889,13.1,22,12/??/2016,Jerome La Peyre,106,F,"A,M,G","a lot of polydora in shell, very ripe",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
CL_5,LA-HSCL,CL_5,Louisiana,High,W,,Calcasieu Lake,"Grand Isle, LA",29.815556,-93.348889,13.1,22,12/??/2016,Jerome La Peyre,121,F,"A,M,G","a lot of polydora in shell, very ripe",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
CL_6,LA-HSCL,CL_6,Louisiana,High,W,,Calcasieu Lake,"Grand Isle, LA",29.815556,-93.348889,13.1,22,12/??/2016,Jerome La Peyre,103,F,"A,M,G","a lot of polydora in shell, very ripe",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,none,none,none,none,none,none,none,none,none,wild,none,none,,
OBOYS2_1,LA-OBOY,OBOYS2_1,Louisiana,High,S,,OBOYS2,"Calcasieu Lake, LA",29.815556,-93.348889,13.1,22,unknown,Jerome La Peyre,130,F,"A,M,G","polydora in shell, meats dry not a lot of hemolymph, very hard to shuck",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,3,unknown,unknown,unknown,unknown,High_salinity,survival_dermo_field_lab,large_oysters,"The oyster stock named •OBOYê, selectively bred for dermo-resis-
tance in Grand Isle, consists of the descendants of large oysters, collect- ed in 1999, from a dermo endemic area (i.e., Oyster Bayou, Cameron Parish, 29.7941çN; 93.3872çW). The stock progeny has been challenged in the field (F0) and in the laboratory (F1 and F2) with P. marinus for two subsequent generations (Leonhardt et al., 2017).","Oyster Bayou, Cameron Parish, LA","Grand Isle, LA",salinity in ppt,,
OBOYS2_2,LA-OBOY,OBOYS2_2,Louisiana,High,S,,OBOYS2,"Calcasieu Lake, LA",29.815556,-93.348889,13.1,22,unknown,Jerome La Peyre,150,F,"A,M,G","polydora in shell, meats dry not a lot of hemolymph, very hard to shuck",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,3,unknown,unknown,unknown,unknown,High_salinity,survival_dermo_field_lab,large_oysters,"The oyster stock named •OBOYê, selectively bred for dermo-resis-
tance in Grand Isle, consists of the descendants of large oysters, collect- ed in 1999, from a dermo endemic area (i.e., Oyster Bayou, Cameron Parish, 29.7941çN; 93.3872çW). The stock progeny has been challenged in the field (F0) and in the laboratory (F1 and F2) with P. marinus for two subsequent generations (Leonhardt et al., 2017).","Oyster Bayou, Cameron Parish, LA","Grand Isle, LA",salinity in ppt,,
